Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/95_02498_0.jpg,Bae Suzy,95,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 90.73%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/89_00317_0.jpg,Bae Suzy,89,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 92.51%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/87_01821_0.jpg,Bae Suzy,87,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 56.06%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/61_01266_0.jpg,Bae Suzy,61,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 61.78%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/67_03497_0.jpg,Bae Suzy,67,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 92.26%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/12_03028_0.jpg,Bae Suzy,12,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 66.77%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/28_02144_0.jpg,Bae Suzy,28,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a boy wearing a hat' with confidence 66.25%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/14_02948_0.jpg,Bae Suzy,14,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 73.34%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/70_01764_0.jpg,Bae Suzy,70,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 71.34%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/20_02281_0.jpg,Bae Suzy,20,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 84.44%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/51_01319_0.jpg,Bae Suzy,51,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 65.36%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/26_02192_0.jpg,Bae Suzy,26,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 85.01%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/6_02709_0.jpg,Bae Suzy,6,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 61.79%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/96_03470_0.jpg,Bae Suzy,96,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person looking at the camera' with confidence 86.39%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/10_01652_0.jpg,Bae Suzy,10,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 83.58%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/78_00074_0.jpg,Bae Suzy,78,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person wearing a hat' with confidence 83.36%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/4_02338_0.jpg,Bae Suzy,4,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 64.18%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/86_00758_0.jpg,Bae Suzy,86,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 65.95%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/30_01705_0.jpg,Bae Suzy,30,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 74.60%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/50_02576_0.jpg,Bae Suzy,50,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 93.50%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/99_00792_0.jpg,Bae Suzy,99,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 57.49%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/91_00497_0.jpg,Bae Suzy,91,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 92.91%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/88_02308_0.jpg,Bae Suzy,88,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 90.90%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/43_03445_0.jpg,Bae Suzy,43,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 91.20%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/69_02787_0.jpg,Bae Suzy,69,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a blurry image of a woman' with confidence 88.45%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/79_02259_0.jpg,Bae Suzy,79,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 88.21%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/80_01506_0.jpg,Bae Suzy,80,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 59.95%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/40_00010_0.jpg,Bae Suzy,40,Bae Suzy,0.9999862909317017,Bae Suzy,0.9730769991874695,0.565692067,'a close up of Bae Suzy' with confidence 95.82%,'Bae Suzy posing for the camera' with confidence 94.97%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/36_02930_0.jpg,Bae Suzy,36,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 78.03%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/21_01627_0.jpg,Bae Suzy,21,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 91.59%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/72_02426_0.jpg,Bae Suzy,72,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 86.29%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/93_00057_0.jpg,Bae Suzy,93,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing glasses' with confidence 74.85%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/62_00042_0.jpg,Bae Suzy,62,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a blurry image of a person' with confidence 89.02%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/77_00326_0.jpg,Bae Suzy,77,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person wearing a hat' with confidence 66.65%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/56_01006_0.jpg,Bae Suzy,56,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 92.67%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/64_00043_0.jpg,Bae Suzy,64,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 93.85%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/13_03433_0.jpg,Bae Suzy,13,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person wearing a hat' with confidence 84.47%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/27_00793_0.jpg,Bae Suzy,27,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 85.19%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/84_03219_0.jpg,Bae Suzy,84,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 84.45%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/55_00036_0.jpg,Bae Suzy,55,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a close up of a person' with confidence 92.47%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/100_02827_0.jpg,Bae Suzy,100,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 69.40%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/8_00043_0.jpg,Bae Suzy,8,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person with collar shirt' with confidence 59.32%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/2_00018_0.jpg,Bae Suzy,2,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a woman wearing a hat' with confidence 78.20%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Bae Suzy/47_00499_0.jpg,Bae Suzy,47,Bae Suzy,0.9999862909317017,,,0,'a close up of Bae Suzy' with confidence 95.82%,'a person posing for the camera' with confidence 92.81%
