Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0009/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9999828338623047,,,0.5826035,'Emma Watson standing in front of a waterfall' with confidence 50.10%,'a woman sitting next to a waterfall' with confidence 45.70%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0010/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9959663152694702,,,0.500231266,'Emma Watson looking at the camera' with confidence 94.06%,'a woman looking at the camera' with confidence 94.51%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0001/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,,,,,0.5958443,'a man wearing a suit and tie' with confidence 96.51%,'a man wearing a suit and tie' with confidence 96.52%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0000/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.970754861831665,,,0.6448794,'Emma Watson with collar shirt' with confidence 88.34%,'a person with collar shirt' with confidence 88.45%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0004/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.997309684753418,,,0.5154219,'Emma Watson holding a frisbee' with confidence 41.33%,'a young man holding a frisbee' with confidence 27.52%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0005/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9997218251228333,Scarlett Johansson,0.7118797898292542,0.5341493,'Emma Watson posing for the camera' with confidence 95.16%,'Scarlett Johansson posing for the camera' with confidence 95.32%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0008/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9998975992202759,,,0.5768254,'Emma Watson holding a sign posing for the camera' with confidence 76.27%,'a woman holding a sign posing for the camera' with confidence 78.30%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0002/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9970912933349609,Scarlett Johansson,0.956799328327179,0.505073249,'Emma Watson smiling for the camera' with confidence 87.62%,'Scarlett Johansson smiling for the camera' with confidence 88.87%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0003/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9999648332595825,Scarlett Johansson,0.7832897305488586,0.61633426,'Emma Watson looking at the camera' with confidence 89.89%,'Scarlett Johansson looking at the camera' with confidence 87.66%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDF v2/Emma Watson/id11_0007/Scarlett Johansson_fake.png,Emma Watson,Scarlett Johansson,Emma Watson,0.9990805387496948,,,0.5536481,'Emma Watson looking at the camera' with confidence 90.89%,'a woman looking at the camera' with confidence 92.64%
