Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00382/00001.jpg,David Spade,00001,David Spade,0.999998927116394,,,0,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'a blurry image of a person' with confidence 80.50%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00379/00008.jpg,David Spade,00008,David Spade,0.999998927116394,,,0.5369505,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'a man looking at the camera' with confidence 92.41%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00379/00033.jpg,David Spade,00033,David Spade,0.999998927116394,David Spade,0.9273637533187866,0.567161739,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade smiling for the camera' with confidence 93.49%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00379/00058.jpg,David Spade,00058,David Spade,0.999998927116394,David Spade,0.9959003329277039,0,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 72.25%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00379/00083.jpg,David Spade,00083,David Spade,0.999998927116394,David Spade,0.9823305606842041,0.582390964,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 88.34%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00379/00108.jpg,David Spade,00108,David Spade,0.999998927116394,David Spade,0.8347671627998352,0.606387854,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'a close up of David Spade' with confidence 94.16%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00068.jpg,David Spade,00068,David Spade,0.999998927116394,,,0.5669589,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'a close up of a man' with confidence 95.45%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00018.jpg,David Spade,00018,David Spade,0.999998927116394,David Spade,0.7731843590736389,0.564568043,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 90.25%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00293.jpg,David Spade,00293,David Spade,0.999998927116394,David Spade,0.9787417650222778,0.591283441,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade posing for the camera' with confidence 94.26%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00193.jpg,David Spade,00193,David Spade,0.999998927116394,David Spade,0.8713099360466003,0.5986252,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 86.11%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00043.jpg,David Spade,00043,David Spade,0.999998927116394,,,0.5310386,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'a man looking at the camera' with confidence 90.27%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00218.jpg,David Spade,00218,David Spade,0.999998927116394,David Spade,0.9342066645622253,0.627015769,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade posing for the camera' with confidence 96.41%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00168.jpg,David Spade,00168,David Spade,0.999998927116394,David Spade,0.7924240231513977,0.5521333,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 87.46%
/home/sha/project/adversarial_deepfake/src/Similarity/Samsung TH Vox2/fake/David Spade/pjklCsDxG60/00380/00093.jpg,David Spade,00093,David Spade,0.999998927116394,David Spade,0.9949976205825806,0.606289446,'David Spade wearing a suit and tie smiling at the camera' with confidence 98.76%,'David Spade looking at the camera' with confidence 91.92%
