Filename,Src,Tar,Src Pred.,Src Conf.,Tar Pred.,Tar Conf.,Similarity,Src Des,Tar Des
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/87_00468_0.jpg,Alexandra Daddario,87,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 64.87%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/49_00606_0.jpg,Alexandra Daddario,49,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 77.24%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/55_00833_0.jpg,Alexandra Daddario,55,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman wearing glasses and smiling at the camera' with confidence 81.13%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/18_01099_0 - Copy.jpg,Alexandra Daddario,18,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 84.11%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/30_00077_0.jpg,Alexandra Daddario,30,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 79.34%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/10_00677_0.jpg,Alexandra Daddario,10,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 86.66%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/50_00476_0.jpg,Alexandra Daddario,50,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 79.31%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/61_00374_0.jpg,Alexandra Daddario,61,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 66.03%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/89_00783_0.jpg,Alexandra Daddario,89,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 90.78%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/11_01056_0 - Copy.jpg,Alexandra Daddario,11,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 65.15%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/54_00506_0.jpg,Alexandra Daddario,54,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman wearing glasses and smiling at the camera' with confidence 88.75%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/27_00172_0.jpg,Alexandra Daddario,27,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a close up of a person' with confidence 84.40%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/77_01047_0.jpg,Alexandra Daddario,77,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person looking at the camera' with confidence 88.81%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/99_00061_0.jpg,Alexandra Daddario,99,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 86.42%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/94_00771_0.jpg,Alexandra Daddario,94,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and looking at the camera' with confidence 86.02%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/12_00688_0.jpg,Alexandra Daddario,12,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman smiling and talking on the phone' with confidence 67.06%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/66_00276_0.jpg,Alexandra Daddario,66,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person posing for the camera' with confidence 95.45%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/46_00624_0.jpg,Alexandra Daddario,46,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person with collar shirt' with confidence 61.99%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/3_00302_0.jpg,Alexandra Daddario,3,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person with collar shirt' with confidence 85.21%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/75_01017_0.jpg,Alexandra Daddario,75,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing a hat' with confidence 58.09%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/19_00264_0.jpg,Alexandra Daddario,19,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person posing for the camera' with confidence 96.55%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/41_00973_0.jpg,Alexandra Daddario,41,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 61.66%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/39_00471_0.jpg,Alexandra Daddario,39,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person posing for the camera' with confidence 94.01%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/72_00119_0.jpg,Alexandra Daddario,72,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 70.13%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/81_00995_0.jpg,Alexandra Daddario,81,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person with collar shirt' with confidence 60.04%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/7_00054_0.jpg,Alexandra Daddario,7,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman wearing glasses and smiling at the camera' with confidence 83.57%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/68_00103_0.jpg,Alexandra Daddario,68,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a close up of a person' with confidence 90.76%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/4_00632_0.jpg,Alexandra Daddario,4,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person looking at the camera' with confidence 73.61%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/91_01057_0 - Copy.jpg,Alexandra Daddario,91,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 85.54%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/69_00630_0.jpg,Alexandra Daddario,69,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a close up of a person' with confidence 81.32%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/51_00602_0.jpg,Alexandra Daddario,51,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 81.86%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/96_00515_0.jpg,Alexandra Daddario,96,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person posing for the camera' with confidence 96.79%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/59_00991_0.jpg,Alexandra Daddario,59,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a close up of a person' with confidence 82.66%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/93_00731_0.jpg,Alexandra Daddario,93,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a close up of a womans face' with confidence 90.17%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/92_00269_0.jpg,Alexandra Daddario,92,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 73.84%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/37_00106_0.jpg,Alexandra Daddario,37,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 78.75%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/22_01009_0.jpg,Alexandra Daddario,22,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 69.68%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/2_00444_0.jpg,Alexandra Daddario,2,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 87.00%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/28_00696_0.jpg,Alexandra Daddario,28,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 67.34%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/62_00927_0.jpg,Alexandra Daddario,62,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 78.60%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/40_00340_0.jpg,Alexandra Daddario,40,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person posing for the camera' with confidence 96.03%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/8_00083_0.jpg,Alexandra Daddario,8,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person taking a selfie' with confidence 81.49%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/36_00896_0.jpg,Alexandra Daddario,36,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 72.85%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/34_00912_0.jpg,Alexandra Daddario,34,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 83.95%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/76_00016_0.jpg,Alexandra Daddario,76,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman wearing glasses' with confidence 78.76%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/16_00772_0.jpg,Alexandra Daddario,16,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 81.59%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/15_00975_0.jpg,Alexandra Daddario,15,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and looking at the camera' with confidence 63.16%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/25_00420_0.jpg,Alexandra Daddario,25,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses and smiling at the camera' with confidence 83.43%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/67_00541_0.jpg,Alexandra Daddario,67,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a person wearing glasses' with confidence 85.85%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/79_00751_0.jpg,Alexandra Daddario,79,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a blurry image of a person' with confidence 88.20%
/home/sha/project/adversarial_deepfake/src/Similarity/CelebDPR/fake/Alexandra Daddario/6_01031_0.jpg,Alexandra Daddario,6,Alexandra Daddario,0.9995591044425964,,,0,'a close up of Alexandra Daddario' with confidence 94.67%,'a woman wearing glasses and smiling at the camera' with confidence 89.13%
